Time_s,RawTarget_deg,Reference_deg,ReferenceRate_rad_s,ReferenceAccel_rad_s2,ActualFFOn_deg,ActualRateFFOn_rad_s,CurrentFFOn_count,ErrorFFOn_deg,ActualFFOff_deg,ActualRateFFOff_rad_s,CurrentFFOff_count,ErrorFFOff_deg
2.55,-7.07812500000001,-6.02493314541327,-0.855336362200009,50,-5.97151932059579,-0.869200625893763,-5267.37429628135,-0.0534138248174757,-6.32601346387314,-1.07234994523042,-5908.27954470127,0.301080318459859
2.551,-7.01812499999999,-6.07170218862202,-0.805336361943992,50,-6.01989397957094,-0.819393521397839,-5282.66096755478,-0.0518082090510868,-6.38584978340562,-1.01633163100406,-5905.05645329151,0.314147594783589
2.552,-6.95812499999999,-6.11847123183077,-0.75533636168799,50,-6.06541308435075,-0.769522980538169,-5275.46390030886,-0.0530581474800073,-6.44247982688742,-0.960429797605723,-5879.74540649025,0.324008595056643
2.553,-6.898125,-6.15840159014015,-0.705336361784003,50,-6.10807892894345,-0.719795952035493,-5300.57150535437,-0.0503226611967068,-6.49591608452058,-0.904847473679724,-5887.14535117121,0.337514494380429
2.554,-6.83812500000002,-6.19771024982232,-0.655336361912016,50,-6.14789121539049,-0.669915010460578,-5306.35128118314,-0.049819034431839,-6.54616822733375,-0.849283222864745,-5875.63108963981,0.348457977511431
2.555,-6.77812499999998,-6.23468753965247,-0.605336362039985,50,-6.18484622601081,-0.620058210407479,-5308.59280742098,-0.0498413136416513,-6.59324227507666,-0.793911027844619,-5860.99674300371,0.358554735424174
2.556,-6.718125,-6.26653581580809,-0.555336362167998,50,-6.21894627548286,-0.570258066353075,-5328.84274713581,-0.0475895403252297,-6.63715004553914,-0.738759295715826,-5864.79116180291,0.370614229731045
2.557,-6.65812500000001,-6.2983840919637,-0.50533636229601,50,-6.25018986113249,-0.520348813076578,-5325.83390862477,-0.0481942308312045,-6.67789930342871,-0.683658140118879,-5845.74734241113,0.379515211465023
2.558,-6.59812500000001,-6.32494791420356,-0.455336362152009,50,-6.27857686640388,-0.470544600456961,-5342.8009801414,-0.0463710477996897,-6.71549896358082,-0.628817594451512,-5847.09846956265,0.390551049377263
2.559,-6.53812499999999,-6.34933578483105,-0.405336361895992,50,-6.30410804015656,-0.420661487308952,-5353.3418277347,-0.0452277446744928,-6.74995857096829,-0.574049621260136,-5842.43948117683,0.400622786137234
